Distrito;NACE1;NACE2;Numero_Empregados;Num_anos_disponiveis_base;Variacao_das_vendas;Variacao_resultado_operacional;Variacao_do_activo;Variacao_dos_capitais_proprios;Variacao_do_ativo_circulante;Variacao_das_existencias;Variacao_do_imobilizado;Fundo_de_maneio;REPV;Prazo_medio_de_recebimento;Liquidez_geral;Liquidez_reduzida;Solvabilidade;Autonomia_financeira;Endividamento;Estrutura_financeira;Passivo_de_curto_prazo_a_dividir_passivo_total;Custos_dos_encargos_financeiros_dividir_resultado_operacional;Rendibilidade_operacional_vendas;Rendibilidade_liquida_das_vendas;Rendibilidade_do_ativo;Rendibilidade_capitais_proprios;Passivo_curto_prazo_dividir_vendas;Peso_das_amortizacoes_dividir_vendas;Peso_encargos_financeiros_dividir_vendas;Produtividade_por_trabalhador;Certificacao_legal_contas;Insolvencia
1;13;132;22;6;0.182341815;-1.198143751;0.110595101;0.048249615;0.189956948;0.454624431;-0.504168063;517153;14.64612025;87.23806278;1.456581122;1.258490603;0.528316184;0.345684935;0.65431449;1.892805918;0.995691675;-0.303613262;-0.003352251;0.008418362;0.015912019;0.048251359;0.152799477;0.029259772;0.011041188;1.342611955;1;0
1;13;139;207;10;0.050375041;-0.218014086;-0.020474542;0.07375795;0.030501737;0.209743511;-0.119944864;4102045;14.32872338;119.7139556;1.76078153;1.506614109;1.518509778;0.602939843;0.397060231;0.658540376;0.994906529;6.85668666;0.037723759;0.028787926;0.041416789;0.07375795;0.155605558;0.051639;0.005501747;1.633324988;1;0
5;14;141;195;7;0.129203142;0.185251408;0.037873388;0.182790768;0.020743268;0.147089096;0.205411587;2963353;2.310270755;68.77769836;2.967375205;1.002952371;2.307180136;0.697627459;0.302372341;0.433429529;0.994442335;22.07328599;0.133239729;0.079004382;0.107812893;0.182791106;0.329182048;0.030685323;0.006036244;1.470773653;1;0
1;14;141;49;8;-0.2202568;-0.343808325;0.015636493;0.018867903;0.048086039;0.394859795;-0.326708735;742887;4.862797893;70.97992734;1.42908309;0.819003937;0.504180382;0.335186117;0.664813883;1.983417119;0.992137788;1.693893557;0.017660046;0.003172103;0.006207143;0.018867903;0.210112454;0.020410253;0.010425712;1.182403038;1;0
1;14;141;46;8;0.036904356;-0.388298255;0.394184779;1.228410428;0.020810101;-0.212199445;2.866348459;845200;47.24088999;42.45860792;2.243167872;2.05555719;2.495213075;0.71389441;0.28610559;0.400767377;0.991172581;0.827483476;0.045127098;0.007570444;0.019027101;0.059392805;0.120743917;0.005661943;0.054535346;1.159491343;1;0
1;13;133;80;5;-0.012606941;-0.264179654;-0.162887729;-0.087274921;0.228253414;2.593511882;-0.297617814;-68744;57.5382306;68.60023914;0.944233799;0.866954161;1.488449731;0.598143572;0.401856751;0.671839955;0.990691955;15.85595104;0.084603495;0.062558448;0.110743298;0.168986494;0.26844254;0.163033297;0.005335757;1.935456906;1;0
1;13;139;76;10;-0.257605533;-3.323589471;-0.170755412;-0.164719946;-0.194677565;-0.11471281;-0.104128166;996845;2.832990964;102.010738;1.441641532;0.669532097;0.996015997;0.499002011;0.500997989;1.003999938;0.989375701;-3.076455456;-0.076056284;-0.090760129;-0.098404821;-0.164719946;0.215511305;0.03378668;0.02472205;0.855979888;1;0
1;14;141;80;10;0.223048823;1.002063989;-0.045389696;0.104858004;-0.033410596;-0.43716319;-0.06483509;-16825;11.55126012;161.1376529;0.995267476;0.835277208;0.571444194;0.36364269;0.63635731;1.749952157;0.989290341;2.40320183;0.059791647;0.029663338;0.034511811;0.104857466;0.138503895;0.026480682;0.024879994;1.674406491;1;0
5;14;141;14;5;0.176192446;0.328576289;0.294934589;0.078819622;0.312304866;-0.456079109;-0.229263077;596079;13.09719684;133.3343493;1.140052174;0.993613433;0.147612154;0.128625497;0.871374705;6.774509912;0.987414306;1.049515596;0.033004891;0.006744602;0.011129997;0.093350538;0.043877279;0.007464071;0.031447737;2.111154232;1;0
1;14;141;75;10;0.170953195;23.23088523;-0.034419894;0.061247793;0.195390498;-0.265777406;-0.344593658;317101;25.46846741;62.30540539;1.176093067;0.972394958;0.630414574;0.386659065;0.613340935;1.586257743;0.985828656;5.218040772;0.046440666;0.009789968;0.030709623;0.084287484;0.098335345;0.012944608;0.00890002;1.357356367;1;0
