id_match_api,dt_match,p_dt_match,id_match_status,id_match_competition,cd_season,cd_round,t1_all_total5_fl_match_win,t1_all_total5_fl_match_draw,t1_all_total5_fl_match_lost,t1_all_total10_fl_match_win,t1_all_total10_fl_match_draw,t1_all_total10_fl_match_lost,t2_all_total5_fl_match_win,t2_all_total5_fl_match_draw,t2_all_total5_fl_match_lost,t2_all_total10_fl_match_win,t2_all_total10_fl_match_draw,t2_all_total10_fl_match_lost,t1_home_total5_fl_match_win,t1_home_total5_fl_match_draw,t1_home_total5_fl_match_lost,t1_home_total10_fl_match_win,t1_home_total10_fl_match_draw,t1_home_total10_fl_match_lost,t2_away_total5_fl_match_win,t2_away_total5_fl_match_draw,t2_away_total5_fl_match_lost,t2_away_total10_fl_match_win,t2_away_total10_fl_match_draw,t2_away_total10_fl_match_lost,t1_h2h_total5_fl_match_win,t1_h2h_total5_fl_match_draw,t1_h2h_total5_fl_match_lost,t1_h2h_total10_fl_match_win,t1_h2h_total10_fl_match_draw,t1_h2h_total10_fl_match_lost,t2_h2h_total5_fl_match_win,t2_h2h_total5_fl_match_draw,t2_h2h_total5_fl_match_lost,t2_h2h_total10_fl_match_win,t2_h2h_total10_fl_match_draw,t2_h2h_total10_fl_match_lost,t1_h2h_home_total5_fl_match_win,t1_h2h_home_total5_fl_match_draw,t1_h2h_home_total5_fl_match_lost,t1_h2h_home_total10_fl_match_win,t1_h2h_home_total10_fl_match_draw,t1_h2h_home_total10_fl_match_lost,t2_h2h_away_total5_fl_match_win,t2_h2h_away_total5_fl_match_draw,t2_h2h_away_total5_fl_match_lost,t2_h2h_away_total10_fl_match_win,t2_h2h_away_total10_fl_match_draw,t2_h2h_away_total10_fl_match_lost,t1_fl_match_win
4123824,2022-05-22 17:30:00,2022-05-22,1,207,es_laliga_21-22,38,1,4,0,2,6,2,3,1,1,4,3,3,1,3,1,4,5,1,1,1,3,3,3,4,2,1,2,5,1,4,2,1,2,4,1,5,3,1,1,5,1,1,1,1,3,1,1,5,1
4252736,2022-05-22 17:30:00,2022-05-22,1,207,es_laliga_21-22,38,2,1,2,5,3,2,2,2,1,6,2,2,3,1,1,6,2,2,3,0,2,4,1,5,1,2,2,2,2,6,2,2,1,6,2,2,3,0,2,4,0,3,2,0,3,3,0,4,0
4568080,2022-05-22 17:00:00,2022-05-22,1,126,no_eliteserien_2022,7,2,1,2,2,1,3,3,0,2,3,0,3,1,0,2,1,0,2,1,0,3,1,0,3,1,1,3,4,3,3,3,1,1,3,3,4,3,1,1,4,2,1,1,1,3,1,2,4,1
5033180,2022-05-22 17:00:00,2022-05-22,1,199,it_serie_a_21-22,38,4,0,1,7,2,1,1,1,3,2,1,7,4,1,0,7,1,2,1,1,3,1,2,7,3,1,1,7,1,2,1,1,3,2,1,7,4,0,1,6,0,1,1,0,4,1,0,6,1
5043317,2022-05-22 17:00:00,2022-05-22,1,183,cy_1st_division_21-22,32,1,1,3,2,4,4,2,2,1,4,4,2,1,4,0,3,6,1,3,0,2,6,2,2,2,2,1,5,2,3,1,2,2,3,2,5,2,2,1,2,2,3,1,2,2,3,2,2,1
5044263,2022-05-22 17:00:00,2022-05-22,1,183,cy_1st_division_21-22,32,2,2,1,2,7,1,3,2,0,5,2,3,1,3,1,5,3,2,1,1,3,2,5,3,2,1,2,5,2,3,2,1,2,3,2,5,3,0,2,6,1,3,2,0,3,3,1,6,0
3972299,2022-05-22 16:30:00,2022-05-22,1,174,si_prvaliga_21-22,36,2,1,2,5,1,4,3,1,1,4,2,4,3,1,1,5,2,3,1,1,3,3,2,5,2,1,2,3,3,4,2,1,2,4,3,3,1,3,1,2,6,2,1,3,1,2,6,2,0
4207650,2022-05-22 16:00:00,2022-05-22,1,94,gb_premier_league_21-22,38,3,0,2,5,0,5,2,1,2,4,2,4,3,0,2,6,1,3,1,1,3,1,2,7,1,1,3,5,1,4,3,1,1,4,1,5,4,0,1,6,0,1,1,0,4,1,0,6,1
4209398,2022-05-22 16:00:00,2022-05-22,1,94,gb_premier_league_21-22,38,3,0,2,4,1,5,3,0,2,5,0,5,3,0,2,4,1,5,1,0,4,4,1,5,1,1,3,2,3,5,3,1,1,5,3,2,2,1,2,2,1,2,2,1,2,2,1,2,0
4950693,2022-05-22 16:00:00,2022-05-22,1,825,tn_ligue_1_21-22,6,1,2,2,2,4,4,4,1,0,6,2,2,2,2,1,5,2,2,2,1,2,3,2,3,2,1,2,3,2,5,2,1,2,5,2,3,3,0,2,4,2,3,2,0,3,3,2,4,0
4048738,2022-05-22 15:30:00,2022-05-22,1,74,ch_super_league_21-22,36,4,1,0,6,2,2,4,0,1,5,3,2,2,2,1,7,2,1,1,2,2,2,4,4,3,0,2,5,1,4,2,0,3,4,1,5,3,0,2,4,2,4,2,0,3,4,2,4,0
4568256,2022-05-22 14:00:00,2022-05-22,1,100,se_allsvenskan_2022,9,2,2,1,5,2,1,4,1,0,4,1,3,2,2,0,2,2,0,2,0,2,2,0,2,2,0,3,3,2,5,3,0,2,5,2,3,2,1,2,2,2,3,2,1,2,3,2,2,1
4819875,2022-05-22 13:00:00,2022-05-22,1,75,dk_1st_division_21-22,9,1,2,2,4,2,4,2,2,1,3,5,2,2,1,2,5,2,3,1,3,1,1,4,5,1,1,3,4,2,4,3,1,1,4,2,4,3,1,1,4,2,3,1,1,3,3,2,4,0
